S, D, Tema, Test, Tablero, Ref
1, M, Introduccion general. Principio de relatividad., -, -, Landau III
1, J, Transformaciones de Lorentz., -, -, Landau III
2, M, Cuadrivectores, -, -, Tejeiro
2, J, - , -, Soluciones Taller 1., -
3, M, Accion relativista. 4-momento. Invariantes del 4-momento, -, -, Landau III
3, J, Ejemplos de aplicacion 4-momento, Quiz 1, -, Landau. III
4, M, 4-momento fotones. Sistema CM. Compton., -, -, Tejeiro. Landau III
4, J, -, Quiz 2, Soluciones Taller 2. Efecto Sagnac. Gas ideal Relativista., -
5, M, -, -, Soluciones Taller 3, -
5, J, Ec. Maxwell. Leyes de Conservacion., -, -, Zangwill Cap15
5, S, -, Parcial 1, -, -
6, M, Ondas EM en vacio, -, -, Zangwill Cap16
6, J, Carga en onda EM, Quiz 3, Zangwill Cap 16
7, M, -, -, Soluciones Taller 4, -
7, J, -, -, Ondas EM en aislantes, Griggiths
8, M, -, -, Soluciones Taller 5 y 6, -
8, J, Ondas EM en conductores, -, -, Griffiths
